"ID","Variable","Description"
1,"BE","Business Environment"
2,"SS","Safety and Security"
3,"HH","Health and Hygiene"
4,"HRLM","Human Resources and Labour Market"
5,"ICT","ICT Readiness"
6,"TT","Prioritization of Travel & Tourism"
7,"IO","International Openness"
8,"PC","Price competitiveness"
9,"ATI","Air Transport Infrastructure"
10,"GPI","Ground and Port Infrastructure"
11,"TSI","Tourist Services and Infrastructure"
12,"NR","Natural Resources"
13,"CR","Cultural Resources"
14,"NLR","Non-Leisure Resources"
15,"ES","Environmental Sustainability"
16,"SI","T&T Socioeconomic Impact"
17,"DS","T&T Demand Sustainability"
